,activity,x-axis,y-axis,z-axis
948761,Jogging,4.48,14.18,-2.11
948762,Jogging,3.95,12.26,-2.68
948763,Jogging,6.05,9.72,-1.95
948764,Jogging,5.24,7.21,-5.56
948765,Jogging,7.27,5.79,-6.51
948766,Jogging,1.61,12.07,-2.18
948767,Jogging,1.5,17.69,-3.6
948768,Jogging,7.06,11.35,0.89
948769,Jogging,6.66,10.0,11.73
948770,Jogging,1.76,9.85,1.99
948771,Jogging,2.6,14.52,1.76
948772,Jogging,-0.89,16.4,-0.99
948773,Jogging,-3.36,7.08,-3.95
948774,Jogging,-3.36,7.08,-3.95
948775,Jogging,0.93,5.37,-1.42
948776,Jogging,2.3,5.01,4.86
948777,Jogging,6.44,9.34,3.26
948778,Jogging,10.99,11.84,-0.08
948779,Jogging,5.33,8.96,1.95
948780,Jogging,-0.23,5.41,-0.46
948781,Jogging,4.4,4.79,-2.03
948782,Jogging,2.64,9.19,2.49
948783,Jogging,-0.34,14.63,7.21
948784,Jogging,2.96,15.28,1.18
948785,Jogging,13.29,18.92,-5.33
948786,Jogging,9.53,16.09,-3.36
948787,Jogging,2.91,3.17,15.36
948788,Jogging,8.08,-0.46,2.56
948789,Jogging,7.82,-3.41,3.6
948790,Jogging,6.32,4.82,0.04
948791,Jogging,15.79,19.04,-4.86
948792,Jogging,9.11,18.62,-9.34
948793,Jogging,-0.46,10.99,6.4
948794,Jogging,-2.26,7.08,-3.87
948795,Jogging,-2.26,7.08,-3.87
948796,Jogging,2.56,-6.51,-6.13
948797,Jogging,4.52,2.56,3.45
948798,Jogging,3.79,5.71,0.57
948799,Jogging,-0.91,19.46,-2.3
948800,Jogging,-0.57,18.43,-2.22
948801,Jogging,0.57,14.06,-6.85
948802,Jogging,4.4,10.46,8.69
948803,Jogging,6.28,5.18,0.46
948804,Jogging,7.67,-2.75,4.1
948805,Jogging,5.9,-2.75,0.95
948806,Jogging,9.81,11.84,-3.02
948807,Jogging,12.57,19.57,-11.73
948808,Jogging,-9.58,15.17,11.5
948809,Jogging,-2.68,6.59,-2.56
948810,Jogging,-2.83,-0.72,2.45
948811,Jogging,3.11,-6.66,-7.35
948812,Jogging,5.28,0.61,-1.5
948813,Jogging,4.71,3.72,2.34
948814,Jogging,-6.32,19.27,-3.53
948815,Jogging,-4.56,17.16,0.42
948816,Jogging,-0.53,13.72,-3.87
948817,Jogging,0.89,15.17,-4.37
948818,Jogging,7.06,6.09,12.41
948819,Jogging,10.34,0.23,1.84
948820,Jogging,5.75,-1.08,4.48
948821,Jogging,4.4,3.95,-0.72
948822,Jogging,9.92,19.34,-11.41
948823,Jogging,-3.49,17.77,6.28
948824,Jogging,-4.1,9.66,-1.95
948825,Jogging,-2.45,3.3,-1.88
948826,Jogging,-0.08,-8.31,5.05
948827,Jogging,8.2,0.27,-7.63
948828,Jogging,-1.12,2.83,5.37
948829,Jogging,-1.33,9.92,1.99
948830,Jogging,-13.82,19.57,-2.03
948831,Jogging,-3.57,17.16,-0.11
948832,Jogging,-0.19,17.5,-7.55
948833,Jogging,4.56,9.08,8.01
948834,Jogging,8.96,2.68,4.75
948835,Jogging,6.24,-0.61,2.37
948836,Jogging,5.33,1.33,-0.84
948837,Jogging,8.01,18.28,-11.73
948838,Jogging,-2.68,19.5,-1.92
948839,Jogging,-9.08,9.66,7.01
948840,Jogging,-3.83,3.26,-4.44
948841,Jogging,-0.57,-7.46,6.7
948842,Jogging,7.12,-2.96,-8.54
948843,Jogging,2.15,1.18,-2.87
948844,Jogging,-1.65,7.5,-0.99
948845,Jogging,-18.96,19.57,2.79
948846,Jogging,-10.65,17.05,-0.3
948847,Jogging,-0.19,14.86,3.41
948848,Jogging,2.34,7.06,4.79
948849,Jogging,9.58,3.17,7.63
948850,Jogging,5.71,1.95,2.6
